Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:39.041,0,0,0
2024-03-13 19:13:39.044,0,0,0
2024-03-13 19:13:39.047,0,0,0
2024-03-13 19:13:39.049,0,0,0
2024-03-13 19:13:39.052,0,0,0
2024-03-13 19:13:39.054,0,0,0
2024-03-13 19:13:39.057,0,0,0
2024-03-13 19:13:39.060,0,0,0
2024-03-13 19:13:39.063,0,0,0
2024-03-13 19:13:39.066,0,0,0
2024-03-13 19:13:39.068,0,0,0
2024-03-13 19:13:39.071,0,0,0
2024-03-13 19:13:39.073,0,0,0
2024-03-13 19:13:39.076,0,0,0
2024-03-13 19:13:39.079,0,0,0
2024-03-13 19:13:39.082,0,0,0
2024-03-13 19:13:39.085,0,0,0
2024-03-13 19:13:39.087,0,0,0
2024-03-13 19:13:39.091,0,0,0
2024-03-13 19:13:39.093,0,0,0
2024-03-13 19:13:39.095,0,0,0
2024-03-13 19:13:39.099,0,0,0
2024-03-13 19:13:39.101,0,0,0
2024-03-13 19:13:39.104,0,0,0
2024-03-13 19:13:39.106,0,0,0
2024-03-13 19:13:39.109,0,0,0
2024-03-13 19:13:39.112,0,0,0
2024-03-13 19:13:39.115,0,0,0
2024-03-13 19:13:39.119,0,0,0
2024-03-13 19:13:39.121,0,0,0
2024-03-13 19:13:39.124,0,0,0
2024-03-13 19:13:39.126,0,0,0
2024-03-13 19:13:39.128,0,0,0
2024-03-13 19:13:39.131,0,0,0
2024-03-13 19:13:39.135,0,0,0
2024-03-13 19:13:39.138,0,0,0
2024-03-13 19:13:39.140,0,0,0
2024-03-13 19:13:39.142,0,0,0
2024-03-13 19:13:39.145,0,0,0
2024-03-13 19:13:39.147,0,0,0
2024-03-13 19:13:39.149,0,0,0
2024-03-13 19:13:39.152,0,0,0
2024-03-13 19:13:39.154,0,0,0
2024-03-13 19:13:39.156,0,0,0
2024-03-13 19:13:39.160,0,0,0
2024-03-13 19:13:39.163,0,0,0
2024-03-13 19:13:39.165,0,0,0
2024-03-13 19:13:39.169,0,0,0
2024-03-13 19:13:39.170,0,0,0
2024-03-13 19:13:39.174,0,0,0
2024-03-13 19:13:39.177,0,0,0
2024-03-13 19:13:39.179,0,0,0
2024-03-13 19:13:39.182,0,0,0
2024-03-13 19:13:39.185,0,0,0
2024-03-13 19:13:39.187,0,0,0
2024-03-13 19:13:39.189,0,0,0
2024-03-13 19:13:39.191,0,0,0
2024-03-13 19:13:39.194,0,0,0
2024-03-13 19:13:39.198,0,0,0
2024-03-13 19:13:39.201,0,0,0
2024-03-13 19:13:39.204,0,0,0
2024-03-13 19:13:39.206,0,0,0
2024-03-13 19:13:39.208,0,0,0
2024-03-13 19:13:39.212,0,0,0
2024-03-13 19:13:39.214,0,0,0
2024-03-13 19:13:39.217,0,0,0
2024-03-13 19:13:39.219,0,0,0
2024-03-13 19:13:39.222,0,0,0
2024-03-13 19:13:39.225,0,0,0
2024-03-13 19:13:39.227,0,0,0
2024-03-13 19:13:39.230,0,0,0
2024-03-13 19:13:39.232,0,0,0
2024-03-13 19:13:39.236,0,0,0
2024-03-13 19:13:39.239,0,0,0
2024-03-13 19:13:39.242,0,0,0
2024-03-13 19:13:39.244,0,0,0
2024-03-13 19:13:39.246,0,0,0
2024-03-13 19:13:39.249,0,0,0
2024-03-13 19:13:39.252,0,0,0
2024-03-13 19:13:39.254,0,0,0
2024-03-13 19:13:39.258,0,0,0
2024-03-13 19:13:39.261,0,0,0
2024-03-13 19:13:39.264,0,0,0
2024-03-13 19:13:39.267,0,0,0
2024-03-13 19:13:39.269,0,0,0
2024-03-13 19:13:39.271,0,0,0
2024-03-13 19:13:39.275,0,0,0
2024-03-13 19:13:39.277,0,0,0
2024-03-13 19:13:39.279,0,0,0
2024-03-13 19:13:39.282,0,0,0
2024-03-13 19:13:39.284,0,0,0
2024-03-13 19:13:39.287,0,0,0
2024-03-13 19:13:39.290,0,0,0
2024-03-13 19:13:39.293,0,0,0
2024-03-13 19:13:39.295,0,0,0
2024-03-13 19:13:39.298,0,0,0
