Participant(Audio Folder): ,Participant02
Video Folder:,_Germany_
Audio Order
01,
02,
03,
04,
05,
06,
07,
08,
09,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
Time,Millisecond,VideoClip,AudioClip,Headrotation X,Headrotation Y,Headrotation Z
10:18:47,164,Not play video,Not play audio,-0.06981692,0.04976368,-0.004087686
10:18:47,178,Not play video,Not play audio,-0.06992655,0.04997249,-0.003989454
10:18:47,192,Not play video,Not play audio,-0.06989229,0.05027857,-0.003861751
10:18:47,220,Not play video,Not play audio,-0.07020442,0.05072322,-0.004396428
10:18:47,234,Not play video,Not play audio,-0.07037038,0.05098258,-0.004744016
10:18:47,261,Not play video,Not play audio,-0.07050222,0.05164736,-0.005237493
10:18:47,276,Not play video,Not play audio,-0.07035809,0.05189263,-0.005020438
10:18:47,303,Not play video,Not play audio,-0.0701828,0.05199198,-0.004562546
10:18:47,317,Not play video,Not play audio,-0.07004946,0.05186611,-0.004406173
10:18:47,345,Not play video,Not play audio,-0.07007254,0.05198701,-0.00465815
10:18:47,359,Not play video,Not play audio,-0.07012039,0.05205095,-0.004773609
10:18:47,373,Not play video,Not play audio,-0.07030921,0.05212058,-0.004702883
10:18:47,401,Not play video,Not play audio,-0.07050725,0.05183193,-0.004128498
10:18:47,414,Not play video,Not play audio,-0.07053879,0.05166934,-0.004104019
10:18:47,442,Not play video,Not play audio,-0.06995609,0.050953,-0.004965873
10:18:47,456,Not play video,Not play audio,-0.06972823,0.0506579,-0.005354641
10:18:47,484,Not play video,Not play audio,-0.06958768,0.04973241,-0.005843243
10:18:47,498,Not play video,Not play audio,-0.06943163,0.04934841,-0.005739797
10:18:47,512,Not play video,Not play audio,-0.06941128,0.04872325,-0.006039883
10:18:47,540,Not play video,Not play audio,-0.06937526,0.04770647,-0.006468166
10:18:47,553,Not play video,Not play audio,-0.06945449,0.04697997,-0.006727173
10:18:47,581,Not play video,Not play audio,-0.06899118,0.04592167,-0.007887967
10:18:47,595,Not play video,Not play audio,-0.06868716,0.04546363,-0.008483279
10:18:47,623,Not play video,Not play audio,-0.06820657,0.04453972,-0.009760165
10:18:47,636,Not play video,Not play audio,-0.06822211,0.04436687,-0.01059693
10:18:47,664,Not play video,Not play audio,-0.06826676,0.0445359,-0.01221579
10:18:47,678,Not play video,Not play audio,-0.06806747,0.04477663,-0.01292615
10:18:47,706,Not play video,Not play audio,-0.06768901,0.0455653,-0.01426549
10:18:47,720,Not play video,Not play audio,-0.0676134,0.04625531,-0.01481332
10:18:47,734,Not play video,Not play audio,-0.067466,0.04689448,-0.01535821
10:18:47,762,Not play video,Not play audio,-0.06760155,0.04824066,-0.01570424
10:18:47,775,Not play video,Not play audio,-0.06772381,0.04876116,-0.01560428
10:18:47,803,Not play video,Not play audio,-0.06787641,0.04908848,-0.01559721
10:18:47,817,Not play video,Not play audio,-0.06792063,0.04919647,-0.01595097
10:18:47,831,Not play video,Not play audio,-0.06795616,0.04906352,-0.0165447
10:18:47,859,Not play video,Not play audio,-0.06828345,0.04907074,-0.01749059
10:18:47,871,Not play video,Not play audio,-0.06847008,0.04917138,-0.0178163
10:18:47,901,Not play video,Not play audio,-0.06854273,0.0493176,-0.01832631
10:18:47,914,Not play video,Not play audio,-0.06872026,0.04941889,-0.01850814
10:18:47,942,Not play video,Not play audio,-0.06877164,0.04956711,-0.01869743
10:18:47,956,Not play video,Not play audio,-0.06870165,0.04962293,-0.01890801
10:18:47,984,Not play video,Not play audio,-0.06849104,0.04906757,-0.01884486
10:18:47,998,Not play video,Not play audio,-0.06834215,0.04833219,-0.01894059
10:18:48,25,Not play video,Not play audio,-0.06804473,0.04688814,-0.01918093
10:18:48,39,Not play video,Not play audio,-0.06750416,0.04642898,-0.01927238
10:18:48,53,Not play video,Not play audio,-0.06634966,0.04613358,-0.01969511
10:18:48,82,Not play video,Not play audio,-0.06307863,0.04615507,-0.0205631
10:18:48,95,Not play video,Not play audio,-0.06147929,0.04641755,-0.02080731
10:18:48,123,Not play video,Not play audio,-0.05991314,0.04750283,-0.02043081
10:18:48,137,Not play video,Not play audio,-0.06114547,0.04812426,-0.01932739
10:18:48,165,Not play video,Not play audio,-0.0648889,0.04921791,-0.01826398
10:18:48,178,Not play video,Not play audio,-0.06628657,0.04970037,-0.01826552
10:18:48,192,Not play video,Not play audio,-0.06797231,0.04978386,-0.0180643
10:18:48,220,Not play video,Not play audio,-0.07036179,0.04939246,-0.01803197
10:18:48,234,Not play video,Not play audio,-0.07110152,0.04902455,-0.01789189
10:18:48,262,Not play video,Not play audio,-0.07196113,0.04817838,-0.0180626
10:18:48,275,Not play video,Not play audio,-0.07200141,0.04796533,-0.01814992
10:18:48,304,Not play video,Not play audio,-0.07159803,0.04788379,-0.01772182
10:18:48,317,Not play video,Not play audio,-0.07150171,0.04784142,-0.01732194
10:18:48,345,Not play video,Not play audio,-0.07062776,0.04902672,-0.01693197
10:18:48,358,Not play video,Not play audio,-0.0701626,0.04971837,-0.01685882
10:18:48,372,Not play video,Not play audio,-0.06985286,0.05059561,-0.01683837
10:18:48,400,Not play video,Not play audio,-0.07004575,0.05204395,-0.01607971
10:18:48,414,Not play video,Not play audio,-0.0702082,0.05262449,-0.01555791
