Participant: ,Default, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:32:04.534,0,0,0
2024-03-13 19:32:04.537,0,0,0
2024-03-13 19:32:04.540,0,0,0
2024-03-13 19:32:04.543,0,0,0
2024-03-13 19:32:04.546,0,0,0
2024-03-13 19:32:04.548,0,0,0
2024-03-13 19:32:04.552,0,0,0
2024-03-13 19:32:04.555,0,0,0
2024-03-13 19:32:04.557,0,0,0
2024-03-13 19:32:04.560,0,0,0
2024-03-13 19:32:04.564,0,0,0
2024-03-13 19:32:04.566,0,0,0
2024-03-13 19:32:04.570,0,0,0
2024-03-13 19:32:04.572,0,0,0
2024-03-13 19:32:04.574,0,0,0
2024-03-13 19:32:04.578,0,0,0
2024-03-13 19:32:04.580,0,0,0
2024-03-13 19:32:04.583,0,0,0
2024-03-13 19:32:04.587,0,0,0
2024-03-13 19:32:04.588,0,0,0
2024-03-13 19:32:04.591,0,0,0
2024-03-13 19:32:04.594,0,0,0
2024-03-13 19:32:04.597,0,0,0
2024-03-13 19:32:04.600,0,0,0
2024-03-13 19:32:04.603,0,0,0
2024-03-13 19:32:04.606,0,0,0
2024-03-13 19:32:04.610,0,0,0
2024-03-13 19:32:04.612,0,0,0
2024-03-13 19:32:04.615,0,0,0
2024-03-13 19:32:04.618,0,0,0
2024-03-13 19:32:04.620,0,0,0
2024-03-13 19:32:04.622,0,0,0
2024-03-13 19:32:04.626,0,0,0
2024-03-13 19:32:04.628,0,0,0
2024-03-13 19:32:04.631,0,0,0
2024-03-13 19:32:04.634,0,0,0
2024-03-13 19:32:04.637,0,0,0
2024-03-13 19:32:04.641,0,0,0
2024-03-13 19:32:04.643,0,0,0
2024-03-13 19:32:04.646,0,0,0
2024-03-13 19:32:04.648,0,0,0
2024-03-13 19:32:04.650,0,0,0
2024-03-13 19:32:04.654,0,0,0
2024-03-13 19:32:04.658,0,0,0
2024-03-13 19:32:04.661,0,0,0
2024-03-13 19:32:04.665,0,0,0
2024-03-13 19:32:04.667,0,0,0
2024-03-13 19:32:04.671,0,0,0
2024-03-13 19:32:04.674,0,0,0
2024-03-13 19:32:04.677,0,0,0
2024-03-13 19:32:04.680,0,0,0
2024-03-13 19:32:04.683,0,0,0
2024-03-13 19:32:04.685,0,0,0
2024-03-13 19:32:04.689,0,0,0
2024-03-13 19:32:04.691,0,0,0
2024-03-13 19:32:04.694,0,0,0
2024-03-13 19:32:04.697,0,0,0
2024-03-13 19:32:04.700,0,0,0
2024-03-13 19:32:04.704,0,0,0
2024-03-13 19:32:04.705,0,0,0
2024-03-13 19:32:04.708,0,0,0
2024-03-13 19:32:04.711,0,0,0
2024-03-13 19:32:04.714,0,0,0
2024-03-13 19:32:04.717,0,0,0
2024-03-13 19:32:04.720,0,0,0
2024-03-13 19:32:04.722,0,0,0
2024-03-13 19:32:04.725,0,0,0
2024-03-13 19:32:04.729,0,0,0
2024-03-13 19:32:04.731,0,0,0
2024-03-13 19:32:04.735,0,0,0
2024-03-13 19:32:04.737,0,0,0
2024-03-13 19:32:04.740,0,0,0
2024-03-13 19:32:04.742,0,0,0
2024-03-13 19:32:04.746,0,0,0
2024-03-13 19:32:04.748,0,0,0
2024-03-13 19:32:04.751,0,0,0
2024-03-13 19:32:04.754,0,0,0
2024-03-13 19:32:04.756,0,0,0
2024-03-13 19:32:04.759,0,0,0
2024-03-13 19:32:04.762,0,0,0
2024-03-13 19:32:04.766,0,0,0
2024-03-13 19:32:04.768,0,0,0
2024-03-13 19:32:04.771,0,0,0
2024-03-13 19:32:04.774,0,0,0
2024-03-13 19:32:04.776,0,0,0
2024-03-13 19:32:04.779,0,0,0
2024-03-13 19:32:04.782,0,0,0
2024-03-13 19:32:04.785,0,0,0
2024-03-13 19:32:04.788,0,0,0
2024-03-13 19:32:04.791,0,0,0
2024-03-13 19:32:04.793,0,0,0
2024-03-13 19:32:04.796,0,0,0
2024-03-13 19:32:04.799,0,0,0
2024-03-13 19:32:04.802,0,0,0
2024-03-13 19:32:04.805,0,0,0
2024-03-13 19:32:04.808,0,0,0
2024-03-13 19:32:04.812,0,0,0
2024-03-13 19:32:04.815,0,0,0
2024-03-13 19:32:04.818,0,0,0
2024-03-13 19:32:04.820,0,0,0
2024-03-13 19:32:04.823,0,0,0
2024-03-13 19:32:04.826,0,0,0
2024-03-13 19:32:04.828,0,0,0
2024-03-13 19:32:04.831,0,0,0
2024-03-13 19:32:04.834,0,0,0
2024-03-13 19:32:04.836,0,0,0
2024-03-13 19:32:04.838,0,0,0
2024-03-13 19:32:04.842,0,0,0
2024-03-13 19:32:04.846,0,0,0
2024-03-13 19:32:04.848,0,0,0
2024-03-13 19:32:04.851,0,0,0
2024-03-13 19:32:04.854,0,0,0
2024-03-13 19:32:04.856,0,0,0
2024-03-13 19:32:04.860,0,0,0
2024-03-13 19:32:04.862,0,0,0
2024-03-13 19:32:04.865,0,0,0
2024-03-13 19:32:04.867,0,0,0
2024-03-13 19:32:04.870,0,0,0
2024-03-13 19:32:04.875,0,0,0
2024-03-13 19:32:04.878,0,0,0
2024-03-13 19:32:04.880,0,0,0
2024-03-13 19:32:04.883,0,0,0
2024-03-13 19:32:04.886,0,0,0
2024-03-13 19:32:04.888,0,0,0
2024-03-13 19:32:04.891,0,0,0
2024-03-13 19:32:04.894,0,0,0
2024-03-13 19:32:04.896,0,0,0
2024-03-13 19:32:04.900,0,0,0
2024-03-13 19:32:04.903,0,0,0
2024-03-13 19:32:04.907,0,0,0
2024-03-13 19:32:04.909,0,0,0
2024-03-13 19:32:04.912,0,0,0
2024-03-13 19:32:04.914,0,0,0
2024-03-13 19:32:04.918,0,0,0
2024-03-13 19:32:04.920,0,0,0
2024-03-13 19:32:04.924,0,0,0
2024-03-13 19:32:04.927,0,0,0
2024-03-13 19:32:04.931,0,0,0
2024-03-13 19:32:04.933,0,0,0
2024-03-13 19:32:04.937,0,0,0
2024-03-13 19:32:04.939,0,0,0
2024-03-13 19:32:04.942,0,0,0
2024-03-13 19:32:04.946,0,0,0
2024-03-13 19:32:04.948,0,0,0
2024-03-13 19:32:04.953,0,0,0
2024-03-13 19:32:04.955,0,0,0
2024-03-13 19:32:04.957,0,0,0
2024-03-13 19:32:04.961,0,0,0
2024-03-13 19:32:04.964,0,0,0
2024-03-13 19:32:04.966,0,0,0
2024-03-13 19:32:04.968,0,0,0
2024-03-13 19:32:04.972,0,0,0
2024-03-13 19:32:04.974,0,0,0
2024-03-13 19:32:04.976,0,0,0
2024-03-13 19:32:04.981,0,0,0
2024-03-13 19:32:04.984,0,0,0
2024-03-13 19:32:04.986,0,0,0
2024-03-13 19:32:04.989,0,0,0
2024-03-13 19:32:04.991,0,0,0
2024-03-13 19:32:04.994,0,0,0
2024-03-13 19:32:04.997,0,0,0
2024-03-13 19:32:05.1,0,0,0
